#tstp   Ax    Ay
215  0.0715652  0.0715652
216  0.0725346  0.0725346
217  0.0735086  0.0735086
218  0.074487  0.074487
219  0.0754698  0.0754698
220  0.0764569  0.0764569
221  0.077448  0.077448
222  0.0784431  0.0784431
223  0.0794421  0.0794421
224  0.0804447  0.0804447
225  0.081451  0.081451
226  0.0824607  0.0824607
227  0.0834738  0.0834738
228  0.08449  0.08449
229  0.0855092  0.0855092
230  0.0865313  0.0865313
231  0.0875561  0.0875561
232  0.0885835  0.0885835
233  0.0896133  0.0896133
234  0.0906453  0.0906453
235  0.0916795  0.0916795
236  0.0927155  0.0927155
237  0.0937533  0.0937533
238  0.0947926  0.0947926
239  0.0958333  0.0958333
240  0.0968752  0.0968752
241  0.0979182  0.0979182
242  0.0989619  0.0989619
243  0.100006  0.100006
244  0.101051  0.101051
245  0.102096  0.102096
246  0.103141  0.103141
247  0.104186  0.104186
248  0.105231  0.105231
249  0.106275  0.106275
250  0.107318  0.107318
251  0.10836  0.10836
252  0.109401  0.109401
253  0.110441  0.110441
254  0.111478  0.111478
255  0.112514  0.112514
256  0.113548  0.113548
257  0.114579  0.114579
258  0.115607  0.115607
259  0.116633  0.116633
260  0.117656  0.117656
261  0.118675  0.118675
262  0.11969  0.11969
263  0.120701  0.120701
264  0.121709  0.121709
265  0.122711  0.122711
266  0.123709  0.123709
267  0.124702  0.124702
268  0.12569  0.12569
269  0.126672  0.126672
270  0.127648  0.127648
271  0.128618  0.128618
272  0.129581  0.129581
273  0.130538  0.130538
274  0.131488  0.131488
275  0.13243  0.13243
276  0.133365  0.133365
277  0.134291  0.134291
278  0.13521  0.13521
279  0.136119  0.136119
280  0.13702  0.13702
281  0.137911  0.137911
282  0.138793  0.138793
283  0.139665  0.139665
284  0.140526  0.140526
285  0.141377  0.141377
286  0.142217  0.142217
287  0.143046  0.143046
288  0.143863  0.143863
289  0.144668  0.144668
290  0.14546  0.14546
291  0.14624  0.14624
292  0.147007  0.147007
293  0.14776  0.14776
294  0.148499  0.148499
295  0.149225  0.149225
296  0.149935  0.149935
297  0.150631  0.150631
298  0.151311  0.151311
299  0.151975  0.151975
300  0.152624  0.152624
301  0.153255  0.153255
302  0.15387  0.15387
303  0.154468  0.154468
304  0.155048  0.155048
305  0.155609  0.155609
306  0.156152  0.156152
307  0.156676  0.156676
308  0.157181  0.157181
309  0.157666  0.157666
310  0.158131  0.158131
311  0.158575  0.158575
312  0.158998  0.158998
313  0.1594  0.1594
314  0.15978  0.15978
315  0.160137  0.160137
316  0.160472  0.160472
317  0.160783  0.160783
318  0.161071  0.161071
319  0.161335  0.161335
320  0.161574  0.161574
321  0.161788  0.161788
322  0.161977  0.161977
323  0.16214  0.16214
324  0.162277  0.162277
325  0.162387  0.162387
326  0.16247  0.16247
327  0.162525  0.162525
328  0.162551  0.162551
329  0.16255  0.16255
330  0.162519  0.162519
331  0.162459  0.162459
332  0.162368  0.162368
333  0.162248  0.162248
334  0.162096  0.162096
335  0.161913  0.161913
336  0.161698  0.161698
337  0.161451  0.161451
338  0.161171  0.161171
339  0.160858  0.160858
340  0.160511  0.160511
341  0.16013  0.16013
342  0.159714  0.159714
343  0.159263  0.159263
344  0.158776  0.158776
345  0.158254  0.158254
346  0.157695  0.157695
347  0.157098  0.157098
348  0.156464  0.156464
349  0.155793  0.155793
350  0.155082  0.155082
351  0.154333  0.154333
352  0.153544  0.153544
353  0.152716  0.152716
354  0.151847  0.151847
355  0.150937  0.150937
356  0.149986  0.149986
357  0.148993  0.148993
358  0.147958  0.147958
359  0.14688  0.14688
360  0.145759  0.145759
361  0.144594  0.144594
362  0.143385  0.143385
363  0.142132  0.142132
364  0.140833  0.140833
365  0.139489  0.139489
366  0.138099  0.138099
367  0.136663  0.136663
368  0.13518  0.13518
369  0.133649  0.133649
370  0.132071  0.132071
371  0.130444  0.130444
372  0.128769  0.128769
373  0.127044  0.127044
374  0.12527  0.12527
375  0.123446  0.123446
376  0.121572  0.121572
377  0.119646  0.119646
378  0.11767  0.11767
379  0.115641  0.115641
380  0.113561  0.113561
381  0.111428  0.111428
382  0.109242  0.109242
383  0.107003  0.107003
384  0.104709  0.104709
385  0.102362  0.102362
386  0.0999602  0.0999602
387  0.0975034  0.0975034
388  0.0949911  0.0949911
389  0.0924232  0.0924232
390  0.0897991  0.0897991
391  0.0871185  0.0871185
392  0.0843811  0.0843811
393  0.0815864  0.0815864
394  0.0787342  0.0787342
395  0.075824  0.075824
396  0.0728555  0.0728555
397  0.0698285  0.0698285
398  0.0667425  0.0667425
399  0.0635972  0.0635972
400  0.0603923  0.0603923
401  0.0571275  0.0571275
402  0.0538025  0.0538025
403  0.0504169  0.0504169
404  0.0469706  0.0469706
405  0.0434631  0.0434631
406  0.0398942  0.0398942
407  0.0362637  0.0362637
408  0.0325713  0.0325713
409  0.0288167  0.0288167
410  0.0249996  0.0249996
411  0.0211199  0.0211199
412  0.0171772  0.0171772
413  0.0131714  0.0131714
414  0.0091023  0.0091023
415  0.0049696  0.0049696
416  0.000773134  0.000773134
417  -0.00348729  -0.00348729
418  -0.00781186  -0.00781186
419  -0.0122007  -0.0122007
420  -0.0166541  -0.0166541
421  -0.0211721  -0.0211721
422  -0.0257549  -0.0257549
423  -0.0304025  -0.0304025
424  -0.0351153  -0.0351153
425  -0.0398932  -0.0398932
426  -0.0447363  -0.0447363
427  -0.0496448  -0.0496448
428  -0.0546188  -0.0546188
429  -0.0596583  -0.0596583
430  -0.0647634  -0.0647634
431  -0.0699341  -0.0699341
432  -0.0751705  -0.0751705
433  -0.0804726  -0.0804726
434  -0.0858404  -0.0858404
435  -0.091274  -0.091274
436  -0.0967734  -0.0967734
437  -0.102338  -0.102338
438  -0.107969  -0.107969
439  -0.113666  -0.113666
440  -0.119428  -0.119428
441  -0.125255  -0.125255
442  -0.131148  -0.131148
443  -0.137107  -0.137107
444  -0.14313  -0.14313
445  -0.149219  -0.149219
446  -0.155373  -0.155373
447  -0.161592  -0.161592
448  -0.167876  -0.167876
449  -0.174224  -0.174224
450  -0.180636  -0.180636
451  -0.187113  -0.187113
452  -0.193654  -0.193654
453  -0.200259  -0.200259
454  -0.206927  -0.206927
455  -0.213658  -0.213658
456  -0.220453  -0.220453
457  -0.22731  -0.22731
458  -0.23423  -0.23423
459  -0.241212  -0.241212
460  -0.248255  -0.248255
461  -0.255361  -0.255361
462  -0.262527  -0.262527
463  -0.269754  -0.269754
464  -0.277042  -0.277042
465  -0.28439  -0.28439
466  -0.291797  -0.291797
467  -0.299264  -0.299264
468  -0.306789  -0.306789
469  -0.314372  -0.314372
470  -0.322014  -0.322014
471  -0.329713  -0.329713
472  -0.337468  -0.337468
473  -0.34528  -0.34528
474  -0.353148  -0.353148
475  -0.36107  -0.36107
476  -0.369048  -0.369048
477  -0.377079  -0.377079
478  -0.385164  -0.385164
479  -0.393302  -0.393302
480  -0.401492  -0.401492
481  -0.409734  -0.409734
482  -0.418027  -0.418027
483  -0.426369  -0.426369
484  -0.434762  -0.434762
485  -0.443203  -0.443203
486  -0.451692  -0.451692
487  -0.460228  -0.460228
488  -0.468811  -0.468811
489  -0.47744  -0.47744
490  -0.486114  -0.486114
491  -0.494831  -0.494831
492  -0.503592  -0.503592
493  -0.512396  -0.512396
494  -0.521241  -0.521241
495  -0.530127  -0.530127
496  -0.539052  -0.539052
497  -0.548017  -0.548017
498  -0.557019  -0.557019
499  -0.566059  -0.566059
500  -0.575134  -0.575134
501  -0.584244  -0.584244
502  -0.593388  -0.593388
503  -0.602566  -0.602566
504  -0.611775  -0.611775
505  -0.621015  -0.621015
506  -0.630285  -0.630285
507  -0.639583  -0.639583
508  -0.648909  -0.648909
509  -0.658262  -0.658262
510  -0.667639  -0.667639
511  -0.677041  -0.677041
512  -0.686466  -0.686466
513  -0.695913  -0.695913
514  -0.70538  -0.70538
515  -0.714866  -0.714866
516  -0.724371  -0.724371
517  -0.733892  -0.733892
518  -0.743428  -0.743428
519  -0.752979  -0.752979
520  -0.762543  -0.762543
521  -0.772119  -0.772119
522  -0.781704  -0.781704
523  -0.791298  -0.791298
524  -0.8009  -0.8009
525  -0.810508  -0.810508
526  -0.82012  -0.82012
527  -0.829736  -0.829736
528  -0.839354  -0.839354
529  -0.848971  -0.848971
530  -0.858588  -0.858588
531  -0.868201  -0.868201
532  -0.877811  -0.877811
533  -0.887415  -0.887415
534  -0.897011  -0.897011
535  -0.906599  -0.906599
536  -0.916176  -0.916176
537  -0.925742  -0.925742
538  -0.935293  -0.935293
539  -0.94483  -0.94483
540  -0.954349  -0.954349
541  -0.96385  -0.96385
542  -0.973331  -0.973331
543  -0.98279  -0.98279
544  -0.992226  -0.992226
545  -1.00164  -1.00164
546  -1.01102  -1.01102
547  -1.02037  -1.02037
548  -1.0297  -1.0297
549  -1.03899  -1.03899
550  -1.04825  -1.04825
551  -1.05747  -1.05747
552  -1.06666  -1.06666
553  -1.0758  -1.0758
554  -1.0849  -1.0849
555  -1.09397  -1.09397
556  -1.10298  -1.10298
557  -1.11195  -1.11195
558  -1.12087  -1.12087
559  -1.12974  -1.12974
560  -1.13856  -1.13856
561  -1.14733  -1.14733
562  -1.15603  -1.15603
563  -1.16468  -1.16468
564  -1.17327  -1.17327
565  -1.1818  -1.1818
566  -1.19027  -1.19027
567  -1.19866  -1.19866
568  -1.20699  -1.20699
569  -1.21525  -1.21525
570  -1.22344  -1.22344
571  -1.23156  -1.23156
572  -1.2396  -1.2396
573  -1.24756  -1.24756
574  -1.25544  -1.25544
575  -1.26324  -1.26324
576  -1.27096  -1.27096
577  -1.27859  -1.27859
578  -1.28613  -1.28613
579  -1.29358  -1.29358
580  -1.30094  -1.30094
581  -1.30821  -1.30821
582  -1.31538  -1.31538
583  -1.32245  -1.32245
584  -1.32942  -1.32942
585  -1.33629  -1.33629
586  -1.34306  -1.34306
587  -1.34972  -1.34972
588  -1.35627  -1.35627
589  -1.3627  -1.3627
590  -1.36903  -1.36903
591  -1.37524  -1.37524
592  -1.38134  -1.38134
593  -1.38732  -1.38732
